centile,observations,WM-hypointensities,Right-Lateral-Ventricle,Right-Amygdala,CortexVol
0.05,889,785.063931248695,3072.9026527743217,1474.0531108808518,485848.32110958046
0.05,949,666.5134779164935,2825.6532828791665,1335.9484554451315,438796.76097649685
0.05,542,755.3405259555751,2519.009992563583,1403.31440899959,404983.0968774684
0.05,731,449.8515852559418,3036.8319751305307,1243.5627025324188,383869.57158308564
0.05,885,666.715192677214,2832.281985578704,1335.6167490462612,439893.18082418933
0.05,763,559.8692059468655,2924.884535979182,1226.7951023836206,388215.9825401453
0.05,1072,450.103753068165,3170.8869422855723,1550.0050666537907,477239.1359613971
0.05,70,512.2310731404648,2888.90291091085,1233.7510290988985,405775.37136765197
0.05,569,470.3141067762502,2936.1591345380766,1464.2138570804868,380161.5328853915
0.05,86,450.08901407895587,3163.5069870077823,1406.8753292155727,430822.1367178429
0.05,514,840.7118609311572,2659.8031354495697,1557.3625904414507,438181.49907338945
0.05,237,541.1529850593039,2798.686327849634,1350.0348528347556,429342.8937110483
0.05,154,546.417398776141,2761.880475598329,1336.1223710345405,426689.82732179965
0.05,596,592.9661459483823,6284.456970053498,1390.66835160945,409659.7764578453
0.05,784,533.5055896448876,2866.8267076781785,1309.776966283231,400790.5142680042
0.05,773,494.559276377507,2846.8459300212253,1360.7692841500989,420083.2547032533
0.05,684,435.18195084696356,3084.135393584247,1463.733330455102,435403.37241145945
0.05,273,540.7963245188763,2827.9763535939883,1348.8459191534557,431209.02521085617
0.05,799,503.0002620712333,2854.90559560416,1374.2537642286768,411134.3201362802
0.05,812,552.8210850183785,2960.532608245693,1212.191763419655,380921.5291126813
0.05,447,755.1946890362946,2493.486305660448,1404.3834132098298,405660.69419957936
0.05,188,540.6280121706993,2811.7869392173784,1351.5691203305257,430092.1341050527
0.05,355,755.1946890362946,2493.486305660448,1404.3834132098298,405660.69419957936
0.05,178,634.5321881697134,3001.817389846731,1504.812182742931,466826.17470119544
0.05,536,841.3056517489609,2635.2942321763207,1557.157741688497,432520.3630118091
0.05,399,754.7738628653634,2504.3237249741874,1405.6103434421882,405679.08446048666
0.05,50,824.4628285441452,2923.5689471499636,1239.8659889454877,396813.18904905213
0.05,49,815.4412471697216,2956.4002497015626,1260.906547083332,401420.4214328087
0.05,1012,830.965096125334,2695.322271160753,936.9269124982903,386361.81140185613
0.05,104,436.48346995142833,3130.176261274271,1441.902082610452,437266.9566943251
0.05,42,846.3050796919878,3355.0791927903283,1271.3781377520318,356937.80469400797
0.05,351,755.3405259555751,2519.009992563583,1403.31440899959,404983.0968774684
0.05,647,461.95118132669666,3083.4142303689014,1534.3916483272758,470221.70095084887
0.05,1040,477.77101393517444,2886.2963959889107,1436.782972598152,439644.37948518497
0.05,175,541.2798091097645,2827.2165679478567,1344.079944593024,431485.8239376548
