observations,centile,WM-hypointensities
961,0.75,1691.988593590275
961,0.95,2243.977170759884
962,0.05,372.63707877480203
962,0.25,924.6256559444139
962,0.5,1308.307124767344
962,0.75,1691.988593590275
962,0.95,2243.977170759884
963,0.05,691.9236935523445
963,0.25,1243.9122707219574
963,0.5,1627.5937395448882
963,0.75,2011.2752083678174
963,0.95,2563.2637855374296
966,0.05,531.6862625066342
966,0.25,1078.0716606350359
966,0.5,1457.8584184919687
966,0.75,1837.645176348902
966,0.95,2384.030574477304
967,0.05,372.63707877480203
967,0.25,924.6256559444139
967,0.5,1308.307124767344
967,0.75,1691.988593590275
967,0.95,2243.977170759884
968,0.05,372.63707877480203
968,0.25,924.6256559444139
968,0.5,1308.307124767344
968,0.75,1691.988593590275
968,0.95,2243.977170759884
970,0.05,372.63707877480203
970,0.25,924.6256559444139
970,0.5,1308.307124767344
970,0.75,1691.988593590275
970,0.95,2243.977170759884
971,0.05,691.9236935523445
971,0.25,1243.9122707219574
971,0.5,1627.5937395448882
971,0.75,2011.2752083678174
971,0.95,2563.2637855374296
972,0.05,212.39964772909366
972,0.25,758.7850458574931
972,0.5,1138.5718037144243
972,0.75,1518.3585615713564
972,0.95,2064.7439596997583
974,0.05,372.63707877480203
974,0.25,924.6256559444139
974,0.5,1308.307124767344
974,0.75,1691.988593590275
974,0.95,2243.977170759884
975,0.05,372.63707877480203
975,0.25,924.6256559444139
975,0.5,1308.307124767344
975,0.75,1691.988593590275
975,0.95,2243.977170759884
977,0.05,212.39964772909366
977,0.25,758.7850458574931
977,0.5,1138.5718037144243
977,0.75,1518.3585615713564
977,0.95,2064.7439596997583
978,0.05,212.39964772909366
978,0.25,758.7850458574931
978,0.5,1138.5718037144243
978,0.75,1518.3585615713564
978,0.95,2064.7439596997583
979,0.05,531.6862625066342
979,0.25,1078.0716606350359
979,0.5,1457.8584184919687
979,0.75,1837.645176348902
979,0.95,2384.030574477304
980,0.05,372.63707877480203
980,0.25,924.6256559444139
980,0.5,1308.307124767344
980,0.75,1691.988593590275
980,0.95,2243.977170759884
981,0.05,531.6862625066342
981,0.25,1078.0716606350359
981,0.5,1457.8584184919687
981,0.75,1837.645176348902
981,0.95,2384.030574477304
982,0.05,531.6862625066342
982,0.25,1078.0716606350359
982,0.5,1457.8584184919687
982,0.75,1837.645176348902
982,0.95,2384.030574477304
984,0.05,691.9236935523445
984,0.25,1243.9122707219574
984,0.5,1627.5937395448882
984,0.75,2011.2752083678174
984,0.95,2563.2637855374296
985,0.05,372.63707877480203
985,0.25,924.6256559444139
985,0.5,1308.307124767344
985,0.75,1691.988593590275
985,0.95,2243.977170759884
