observations,WM-hypointensities,Right-Lateral-Ventricle,Right-Amygdala,CortexVol
1035,-0.39052932207096575,-0.30189390766349694,-0.7496738641433852,-0.9110643541323011
1037,-0.5320187480385259,-0.487889707293791,-2.0621889526951787,-4.300472060902575
1038,-0.6483066280837066,-1.1905548364120027,-0.7897794140583111,-0.748207462221661
1039,-0.9549365167755305,-0.26928397507674434,-0.7457418754128976,-0.6531158107012474
104,-0.00329318096600372,-0.8927512729016266,-1.3147425874655763,-0.7447044574761069
1040,0.11168695333440566,-1.2665911260684612,-0.9762738990960674,-0.8598082872998457
1041,0.06740016899484369,-0.3707617135619531,-0.7876559534229775,-0.6541776491444888
1042,-0.3651734699974604,-0.8578127394580264,-1.2274847242792226,-0.6784371769135786
1044,-2.613011487672794,-0.6418045272605623,-0.889118285969106,-1.1558298144578136
1045,-0.011824887527213068,-3.5549417960245004,-2.4908532883838275,-0.872493326983913
1047,-1.0624761439580725,-0.2669631765244342,-0.8396818214622108,-0.6215049334577847
1048,0.11039872510616257,-1.5977145118095628,-1.6392258968609716,-0.7435222333814197
1049,-0.9954138279144459,-1.0186849668114828,-0.7741917779276491,-0.7384751599889633
105,-0.5372114582010762,-2.0068648841008296,-0.7631259045530564,-0.9026913421475935
1050,-0.5214987610601329,-0.844863626628335,-1.0679862626785166,-0.7695709021972652
1052,0.11130436841858797,-0.6304393045625848,-0.8894728215764315,-0.8601884481205031
1055,-1.7086310428288316,-2.376993796649664,-1.6303605556480092,-5.085142749240367
1056,0.09137714253476605,-0.2509181275993446,-1.1865455812717522,-0.6902948063051844
1057,-0.006382222105321099,-0.9546694963721151,-0.7425472371343603,-0.6087555675383126
1058,0.1240815886646031,-1.8735260373128537,-0.7347368088939782,-0.6067931984607333
1059,-1.4872817647324446,-0.326590158035597,-0.89793154090395,-2.4328494422050047
106,-0.0966667806607556,-1.11819210309146,-2.04159672834766,-0.7033215795367309
1061,0.08020506627069564,-1.1929350505160956,-0.8421008786346809,-0.7853065365848901
1062,-0.08987799674300104,-1.3934342593266507,-0.8577514726617353,-1.2759659257143796
1065,-0.4303039292331031,-0.3090192667502077,-1.2755303020789794,-0.612740633298886
1066,-0.3750560046861319,-1.0733536653764357,-1.2342663018915576,-0.6242622399078267
1067,0.15272322099339758,-0.9504874663408867,-1.0607157658267519,-0.6372186231935744
1068,-0.2868610888580304,-0.43136083573229334,-0.7583854393224773,-0.6164352208655189
1069,0.07658219548133664,-0.39711592651400407,-0.8862469205353929,-0.6269891309229928
107,-1.4075122683592305,-1.1428902341601048,-0.8086053892738035,-0.6737084771790487
1070,0.052595849635244954,-1.1098358753171853,-0.7530966063266695,-0.6167723986014831
1071,-0.10066210583170616,-1.7187574984030285,-1.3177851977186588,-0.7236391976008713
1072,-0.0015193551636946733,-3.21350359710713,-0.7768323578261852,-1.086153398698331
1073,-0.7045521792450485,-0.45023865363882065,-0.7283910300374091,-0.7212373473598624
1074,-0.12532768071041006,-0.4990957475440999,-0.8480458610507015,-0.7621608196401584
1075,-0.5748192233202116,-1.2705236633050694,-0.7748371116437703,-0.6301759358261801
1076,-0.33341985509174904,-0.4003680238031262,-0.9059297819473292,-0.8652446081687695
1077,0.08216608658139746,-0.48354703648989905,-0.744062615250146,-1.0568822239964704
108,-0.021510215812261972,-1.5742316295493275,-0.8455561284111223,-0.7003788429828218
11,-0.5701934874019906,-0.35347940961251273,-0.8690587453180009,-0.658896997322188
110,-0.45268138820711096,-0.7106698103974669,-0.9714758980072333,-1.375915052680611
112,-0.6765911136719222,-0.6550573606836496,-1.0619355120009148,-0.8141524522805738
114,0.06626711351488335,-0.7459811000711619,-0.8952891715626744,-0.6357502431448349
115,-1.0041512270151807,-1.0447224689785537,-0.7500220686172121,-1.1231678229643034
116,-0.6686617683938728,-0.9675478770065504,-0.9682588306755308,-2.440678486199658
117,-0.6393575126995238,-0.8078633902074074,-0.8955753648279078,-1.1936865765816587
118,-1.399482488686669,-6.309724909943953,-0.7389856957898414,-1.0385180055776488
119,-2.385162252195843,-4.087241046200177,-0.8698614578164873,-2.302209855899657
12,-1.8349616769035308,-0.07525205541969915,-1.917189512572251,-0.8084960030501283
121,-0.12063004623860892,-0.5325768013142165,-0.8533889681302641,-1.6723345561022906
122,-1.238047127088547,-0.7311653434828032,-0.8982494415769928,-1.4773061655697532
123,-0.4720560828945989,-0.8032459665512367,-4.647483341304593,-0.6829186034387784
124,-0.16126381101582332,-0.5456231187423446,-0.7351178812362553,-0.7302925250994381
125,-1.4983793759494626,-0.8107325968191997,-2.6732351683584645,-0.785979519129705
126,-0.9173817271374484,-1.1246569999672753,-4.251546514619087,-0.6290726480320514
127,-0.7583869667117292,-0.41790981885739403,-1.2182245393006519,-0.6768248410920146
128,-0.11789833823703286,-1.4906303197696429,-0.7489710320115358,-0.6157515699466038
13,-0.4856735497386552,-0.5376012015922057,-1.1300978007856886,-0.6335061365378156
130,-0.8150034553123966,-0.33734502280596335,-1.8773246946004474,-4.344086788358537
131,-1.0975731226284202,-0.9754556540871347,-0.803489608393456,-1.6744787121609286
132,0.12824360277099836,-1.0284433710783567,-0.8752609881309377,-4.713666110472633
135,0.04692395240414994,-0.13101402272790774,-0.7320893361426453,-1.1697434658443369
139,-0.68554441566273,-0.22032608059841569,-0.7265354663333634,-0.5922336716909931
14,-0.9411740950600712,-0.9605257916795747,-0.9211729452076359,-0.6933420980774592
140,-0.5188763595668595,-1.053769650889177,-0.7926909633735404,-0.8752197994218077
143,-0.39067582842173326,-0.20990474574245385,-2.76905129809165,-1.2137218502264449
144,-0.26871996976281337,-0.9373621291564213,-0.898430423373498,-0.6698099210929891
145,0.15615719454999094,-0.8424157579982019,-0.7385490477827787,-0.8583614899081013
146,-0.9613907132819142,-1.0861547398368183,-0.8578569471510719,-0.6096334232152834
