observations,centile,WM-hypointensities,Right-Lateral-Ventricle,Right-Amygdala,CortexVol
1042,0.25,704.1197104608601,4333.459353725346,1552.0052972032743,460704.57032323786
1042,0.5,889.9194683458413,5863.141885900746,1682.3796888564054,485613.34579867433
1042,0.75,1187.4306707093856,8371.106093365974,1830.6604155882837,511562.787109327
1042,0.95,1767.725243413422,13050.3461652852,2048.570637259188,548470.9284426519
1044,0.05,594.943756420841,3749.52901107139,1613.115456663374,481732.3005829002
1044,0.25,770.7410149938369,4927.180537494279,1768.2692691482052,514745.1036563188
1044,0.5,955.8276168373757,6378.735409867075,1896.9876588254147,539408.9682130853
1044,0.75,1252.2002268088775,8758.62181146776,2043.38258938727,565102.974243955
1044,0.95,1830.2748115210202,13199.044336580992,2258.51835366017,601648.128837293
1045,0.05,527.6408915631242,3092.4932687281857,1394.8569095531982,427364.8401443397
1045,0.25,704.1197104608601,4333.459353725346,1552.0052972032743,460704.57032323786
1045,0.5,889.9194683458413,5863.141885900746,1682.3796888564054,485613.34579867433
1045,0.75,1187.4306707093856,8371.106093365974,1830.6604155882837,511562.787109327
1045,0.95,1767.725243413422,13050.3461652852,2048.570637259188,548470.9284426519
1047,0.05,370.2749163049533,3013.721119691536,1397.0364718054052,443309.9098714389
1047,0.25,546.8162436367775,4158.136908673455,1551.2969701516852,476205.44618009153
1047,0.5,732.6883683221815,5568.675140212375,1679.2739798848152,500781.3459919433
1047,0.75,1030.3195348948054,7881.317910759492,1824.8243686166222,526383.441835526
1047,0.95,1610.8472711152558,12196.354969237113,2038.716611926411,562797.8107922566
1048,0.05,363.1787722654865,2909.341773675693,1398.2095021852895,447797.74417532905
1048,0.25,543.6138046697952,3988.8032369664274,1551.3946480766963,480666.5151793001
1048,0.5,733.5891919991176,5319.171438223313,1678.4791874626455,505221.7602739506
1048,0.75,1037.7901277885564,7500.377795945224,1823.011546244856,530801.5914139446
1048,0.95,1631.124783398034,11570.336033081445,2035.4019936615025,567183.6827029034
1049,0.05,454.22861488942124,3768.983438078369,1608.049402867749,489200.030925495
1049,0.25,630.0182567924801,4979.138299072499,1764.1983808942293,522368.2748214477
1049,0.5,815.0946377031171,6470.802781073234,1893.742856647831,547148.6149744216
1049,0.75,1111.4495121572081,8916.443803346803,2041.0785625504795,572964.1531981819
1049,0.95,1689.489789492391,13479.474947878993,2257.5987627749864,609682.0746416808
105,0.05,357.2200320154336,3067.8116608194196,1320.4654768309324,405307.90200828196
105,0.25,535.0494972890624,4337.5858974621115,1478.5773102241408,438826.188183942
105,0.5,722.2690411865409,5902.8110200224855,1609.7521040908864,463868.6468877298
105,0.75,1022.051102727266,8469.037642485404,1758.9441803834413,489957.37132286053
105,0.95,1606.772491539318,13256.913741113163,1978.1942815819318,527063.2534267813
1050,0.05,382.71583011216114,3087.424336274382,1391.750105088618,436951.35236968135
1050,0.25,559.1946490098969,4328.390421271541,1548.8984927386941,470291.0825485795
1050,0.5,744.994406894878,5858.072953446943,1679.2728843918253,495199.85802401596
1050,0.75,1042.5056092584223,8366.03716091217,1827.5536111237038,521149.2993346686
1050,0.95,1622.800181962459,13045.277232831395,2045.4638327946082,558057.4406679935
1052,0.05,466.2681699858092,3780.5651725942466,1605.9143472086253,483123.4267183426
1052,0.25,646.0803330880995,5077.197351321283,1764.9429271678061,516825.05874634965
1052,0.5,835.3850831438513,6675.554754058951,1896.8796714220705,542004.7454181459
1052,0.75,1138.5029258085233,9296.090172764198,2046.9392717368414,568236.3650283432
1052,0.95,1729.7269420983653,14185.230100800381,2267.464255767194,605545.0069316761
1055,0.05,466.2681699858092,3780.5651725942466,1605.9143472086253,483123.4267183426
1055,0.25,646.0803330880995,5077.197351321283,1764.9429271678061,516825.05874634965
1055,0.5,835.3850831438513,6675.554754058951,1896.8796714220705,542004.7454181459
1055,0.75,1138.5029258085233,9296.090172764198,2046.9392717368414,568236.3650283432
1055,0.95,1729.7269420983653,14185.230100800381,2267.464255767194,605545.0069316761
1056,0.05,445.9280465055987,3708.6166342790284,1611.929078626188,493484.8756540945
1056,0.25,622.4693738374228,4853.032423260947,1766.1895769724679,526380.4119627471
1056,0.5,808.3414985228268,6263.570654799867,1894.1665867055979,550956.3117745989
1056,0.75,1105.9726650954508,8576.213425346985,2039.7169754374052,576558.4076181815
1056,0.95,1686.5004013159012,12891.250483824606,2253.6092187471936,612972.7765749122
1057,0.05,374.3655647692325,3049.5645640300927,1395.1160453780112,441143.84702558623
1057,0.25,550.1628233422283,4227.216090452981,1550.2698578628424,474156.65009900485
1057,0.5,735.2494251857672,5678.770962825778,1678.9882475400518,498820.5146557714
1057,0.75,1031.6220351572688,8058.657364426463,1825.383178101907,524514.520686641
