observations,response_var_0,response_var_1
73,-0.7970591641627943,-0.3358686316951398
74,-0.61739306495163,-0.20299401904130113
75,-1.258100427029066,-0.2411917295233012
76,-0.8837905367705856,-0.6814588533907996
77,-0.7413969975460332,-1.417275482707198
78,-1.1508026731963688,-0.5108946505292488
79,-2.2599209854703206,-0.23861463859100546
80,-0.9322118396252985,-0.8236727776899249
81,-1.6790123485398039,-0.6712290636563664
82,-1.0274794983098412,-1.5142677603396877
83,-1.7422708679088335,-0.961816271537801
84,-1.9035944482579803,-0.18791727490118287
85,-2.3965232971989807,-0.2578265705895019
86,-2.295254382636409,-0.39125248507376764
87,-0.9054548041981502,-0.6772289996879732
88,-0.7830167343244474,-1.0011783744624843
89,-0.8687636249626237,-0.6041246173324699
90,-0.7374306043276426,-0.4508656477713974
91,-0.6387791622985951,-0.6339781206215123
92,-2.420837580243667,-0.1705610272090115
93,-1.8359414794684017,-0.753539299467918
94,-1.8925898155451288,-1.3819680427755205
95,-0.9439597108531874,-0.4128979492329274
96,-0.9404145834870924,-1.7873152977744504
97,-0.893747956594809,-1.5137031576342832
98,-1.6804952139230174,-0.8800982924537171
99,-1.2682753817416814,-0.5693859542965597
100,-1.1045169444828016,-0.33017234934902384
101,-0.6210534226367298,-0.23742924097933485
102,-2.211269931892526,-1.2947862341212237
103,-1.2336961687236327,-0.8532403825027169
104,-2.188952720471581,-1.3817302169263406
105,-0.6381922438061204,-0.860227578039504
106,-1.942758654294153,-1.4774888666540764
107,-0.6284930982852563,-0.40144812575751326
108,-1.275232485644381,-0.4482888447819396
109,-1.1566482200665207,-0.6170661878246827
110,-0.7239780897328068,-1.0515095211861951
111,-2.8599411396031,-0.7696281948083289
112,-2.1308484715908618,-0.43232289591447126
113,-3.043421090793968,-0.21427521504398747
114,-0.6461057250606368,-0.36696943174120755
115,-1.3063185675849616,-0.8941512127960611
116,-1.5173848634244482,-1.3831857728559502
117,-1.137625703942347,-0.24785319029683786
118,-0.627211381722567,-0.7793452137292247
119,-0.8884163436019928,-7.699965193283463
120,-1.052671170457652,-1.305533275895662
121,-0.7343125996517176,-0.39538898438273573
122,-0.6343367975623372,-0.45803638717131373
123,-0.634109987736735,-2.3812316281854877
124,-0.9460633476977716,-0.23542203457881933
125,-0.7116739813547498,-0.5798721905943877
126,-0.8566492950200721,-0.637809355282669
127,-4.663520688457457,-0.30313772982257864
128,-2.1290266579850283,-2.5617511647639226
129,-0.7341348190045848,-1.1952216487172147
130,-0.7698239343923307,-0.22748649808855084
131,-0.7847683701961989,-0.3563422745307631
132,-0.948208717015929,-2.2624161562393854
133,-0.6731512702881483,-0.6442980871526922
134,-0.6332368052586603,-0.2111018472499077
135,-1.990189582189449,-0.19885400804375214
136,-1.4799070750242527,-0.865569272254896
137,-3.5393500839695973,-2.329411748120989
138,-0.7493430450943761,-1.289359734032747
139,-0.9358615749357115,-1.7924612516283984
140,-0.7123014797452661,-0.711454084989803
141,-0.6879442698404274,-0.48086597219322874
142,-1.0453796994772266,-0.32128341448749115
143,-0.9748165652792316,-0.26696018992649223
144,-0.6277634713721632,-0.3380167221681049
145,-0.8939700283776197,-0.583383966378725
146,-0.6867950886509943,-0.3629678274043751
147,-0.6710358140423632,-0.2087330407445676
148,-1.1183950434967616,-1.0863252587299468
149,-0.8844074764628946,-0.5785335701668218
150,-5.497124081187465,-0.4011084374756697
151,-1.3508907840798392,-0.313155200578401
152,-0.6199320473728975,-0.20414901575353037
153,-1.0412498242966945,-0.4537939775748047
154,-0.7284499301991042,-0.93087508116242
155,-0.7182617452794932,-1.2938746932679397
156,-2.9853067337808046,-0.4630495313827949
157,-2.9941231456018427,-0.5237100605244128
158,-1.054776629654269,-0.271086422416182
159,-0.8377263546848532,-0.29228584923098055
160,-0.7267101747245996,-0.24982497638974785
161,-0.6758456608949532,-0.5618949352999051
162,-2.783695178333845,-2.844411116249238
163,-0.7643998244114685,-0.5900283038519906
164,-0.7663832846220049,-1.2586200400678267
165,-1.0487990252342991,-0.24878349979245307
166,-0.7049936757216254,-0.6339962436359134
167,-0.665497025347046,-0.549826599642797
168,-3.9029361995121787,-1.4387785161560658
169,-0.7546897609099517,-0.23580756683134077
170,-1.0632718389735794,-0.36317649499146815
171,-1.495408690245885,-0.3250483952030551
172,-0.629171281811693,-0.3454218299407137
173,-1.660876175659858,-1.6722303796149889
174,-1.3551761554280892,-0.6301974398765153
