observations,WM-hypointensities,Right-Lateral-Ventricle,Right-Amygdala,CortexVol
863,-0.39341923410828583,-1.1785988890722423,-0.7412729998257541,-0.5863045992065025
788,-0.37148689873051,-1.2673534299901428,-3.7923047138997643,-3.5363777214817294
3,-0.3063445304253434,-0.983319939262348,-1.2351937728726976,-0.8306345043435424
125,-1.4856541113515886,-0.605789521803978,-2.434773499053045,-0.8392064495877838
119,-2.461214014750591,-5.510570219980688,-0.7690910254082853,-2.3417813016784477
579,-1.4041564350308124,-1.3896253217323835,-1.5784513777076532,-0.5957274018542534
657,-1.5549855072128147,-1.3137866157413365,-0.5525354745807411,-0.8417170193588345
718,-1.5449189099814706,-1.3482871984964095,-0.9600398760531,-0.6068794262540294
267,-0.2863474331406646,-0.8241701260807288,-0.7187732201904484,-0.8575914491806114
706,-1.5789425579570935,-1.5578562561925342,-1.4669958179187992,-2.7188897011603057
898,-0.1667427335508374,-1.3333137044613856,-0.9587926900416743,-0.6187283165168581
1076,-0.5468692802176087,-0.9673022235183935,-0.9549719195936197,-0.8658913388669642
941,-0.6976490385279223,-0.8527245293095186,-0.9092946310026128,-0.6496266345790201
32,-1.9462672142071011,-3.009967945992018,-1.0227686720668139,-1.084187999000451
191,-0.6271412273332321,-0.9729608121080452,-0.7234651078858085,-0.5650310423807329
558,-0.23437907279924983,-0.9975829300219425,-0.9727662944071926,-1.0322212808836513
385,-0.17592144678955773,-0.9395115457587405,-0.6912465564464669,-0.9372945356017878
963,-3.085835696012122,-2.4789141948577673,-1.069368801870199,-0.990055037843348
56,-0.2451478975453946,-0.823550276961018,-1.0187501049723222,-0.5947367778922017
448,-0.1596055668054233,-0.8135980833211041,-1.6704635497090876,-0.694861839955997
307,-1.0962114933853477,-0.6455487541811868,-0.6908382229747437,-0.758712355634562
429,-0.2324711793731763,-0.5857726577724036,-3.826786552348785,-0.9168595418108739
110,-0.47593415762974123,-1.013851822163872,-1.1051682192838048,-1.4231615643390858
530,-0.41314719092768104,-1.0629055433977799,-1.345550088946786,-0.5826076769205358
523,-0.3530732240265454,-0.6126954936576137,-0.7360256869814256,-1.34707071112361
165,-0.1752681435694291,-0.6502339790076983,-1.0669053110248048,-0.5572524632277207
625,-1.3853375854602372,-1.6584962970915729,-0.5597297752738596,-0.5932462424306829
991,-0.5372353939028424,-0.8802377279017831,-0.7931707513583901,-0.6676576669401101
896,-0.3766265296234842,-1.0083023456726332,-0.8815476667412102,-1.0769832404802075
387,-0.15580484371804396,-0.6830429402913388,-2.181182168485896,-0.5939836875111664
453,-0.4854765448982094,-0.9250731890978956,-0.8061808029815011,-0.6578178852764208
672,-0.23204222523150064,-1.1476700788168253,-2.427069414818773,-1.4317189066828686
215,-0.21785473950046605,-0.7595821526837658,-0.6961976145073038,-0.5635067915364022
919,-0.2590905859789782,-1.3397627237966485,-1.8927521480415013,-1.2368639008212838
598,-13.764194856742415,-1.364172469770707,-1.1595676597132887,-0.6121004116724471
37,-0.28631365467487796,-1.031522174878967,-1.4296964960111338,-5.950892104419679
668,-0.8767200275657138,-1.251166732763406,-0.8617727848089424,-1.0647568413332842
851,-0.2782266201571175,-0.6628033424754707,-0.7373042201701335,-1.2458029566373603
