centile,observations,WM-hypointensities,Right-Lateral-Ventricle,Right-Amygdala,CortexVol
0.05,505,539.1398747232702,886.9185903300213,1345.145304976893,398556.37001910596
0.05,404,564.3735856086225,967.46381978102,1353.665180312948,391802.0336452487
0.05,691,394.99181371162,2544.5424358199107,1630.5063970853512,477402.8644765208
0.05,736,-407.2663498271845,2780.30251110494,1503.7878141902315,423278.2931918624
0.05,94,12.621508004911902,696.4786168707697,1276.139743634313,398181.370662557
0.05,321,547.1703777652459,2321.964603303807,1546.3895162637657,473636.0413832045
0.05,854,332.4173419625206,1350.1141577759045,1562.7913733394314,444359.7130258878
0.05,988,240.85745515540202,94.37549649948596,1124.5201252951456,383996.3184646898
0.05,609,-555.5886725749638,1664.337406623311,1339.7691056511183,402719.8150440202
0.05,350,145.0978110446324,2201.6505988154795,1534.071959637657,478459.0181285832
0.05,379,539.1398747232702,886.9185903300213,1345.145304976893,398556.37001910596
0.05,116,756.3479808740884,2545.9521198437997,1641.7333387127323,457514.73925943545
0.05,1074,275.2385919075564,2329.186907577009,1572.11761583237,485179.670489428
0.05,484,688.0528824677879,2109.8508572988558,1568.074173025031,452223.4099417147
0.05,118,736.7926980056276,2470.762699396085,1633.5663114757429,462052.7601015598
0.05,246,541.4919497483568,2316.6087943005095,1546.0366681646997,475852.35691493785
0.05,395,734.3387956731807,2215.66717577916,1582.6228771743108,438814.68330154533
0.05,819,519.1814805570199,2204.582117190118,1580.528402260939,473328.4282942347
0.05,251,369.122160026743,995.3058278686358,1311.2582347398582,426755.4653003319
0.05,131,377.3259830653634,1021.7758513406143,1313.8612944035194,424504.07037714333
0.05,734,-294.9407585215288,456.1830342545827,1296.349969864515,373062.2574657715
0.05,676,541.2285732015894,2466.391383614915,1549.0211797598079,468583.2737566147
0.05,957,816.217788279678,2561.4793479234413,1521.3894372514892,489739.9053641398
0.05,746,-444.79134578491244,3850.34460724976,1467.5839745957292,431034.93648164417
0.05,213,533.2881267097362,2290.138770828513,1543.4336085010364,478103.7518381263
0.05,617,567.9131754662103,2394.085392158646,1552.6807816039006,488427.38245861034
0.05,414,564.3735856086225,967.46381978102,1353.665180312948,391802.0336452487
0.05,312,547.1703777652459,2321.964603303807,1546.3895162637657,473636.0413832045
0.05,58,-408.4413666234591,2585.175919956245,1539.288202766584,418364.4071998127
0.05,682,407.4353914031236,2455.153996584674,1625.4899509717663,468726.6691651995
0.05,699,-50.71039186297321,-129.75816631805537,1293.5575791268882,373944.162407725
0.05,597,403.74720878322285,1099.2524491987833,1320.5054078427202,437079.0959208156
0.05,167,377.3259830653634,1021.7758513406143,1313.8612944035194,424504.07037714333
0.05,926,821.8962162965677,2566.835156926718,1521.7422853505548,487523.58983240643
0.05,686,243.40523474826387,1098.8068396669887,1391.696893257414,415281.0661205427
0.05,811,519.3372450704103,2241.3464834438146,1581.1805855132043,474452.29172162554
0.05,315,377.3259830653634,1021.7758513406143,1313.8612944035194,424504.07037714333
0.05,555,315.03793015177916,287.4065104083138,1445.8331014714804,379664.70562783594
0.05,482,568.0496821342485,953.1216814239297,1352.4744165434977,389618.89340349234
0.05,235,369.122160026743,995.3058278686358,1311.2582347398582,426755.4653003319
0.05,238,553.9355274398605,2227.220355065271,1541.0202220511146,467176.16160361655
0.05,282,547.1703777652459,2321.964603303807,1546.3895162637657,473636.0413832045
0.05,621,486.4876270890545,1325.5257693795093,1569.3373474162197,466273.803383626
0.05,928,657.730249613581,1272.002213966838,1289.5669115893763,436175.3032946118
0.05,380,732.2156488172416,2247.9546243837895,1584.6497903046773,440967.17994128686
0.05,655,3266.0888107590663,-1554.5001852266396,783.7175406569983,290451.4508765425
0.05,566,-329.4516114034225,2310.571068675803,1713.1510315574417,413473.13101222285
0.05,489,558.6951575917311,962.1080107777252,1353.3123322138827,394018.3491769815
0.05,906,657.730249613581,1272.002213966838,1289.5669115893763,436175.3032946118
0.05,12,812.3469546982541,390.73531530897344,1022.3037460632468,419950.92031742434
0.05,908,816.217788279678,2561.4793479234413,1521.3894372514892,489739.9053641398
