centile,observations,response_var_0,response_var_1
0.25,353,2.493111574320968,967.6418043681961
0.25,362,2.551826168407504,764.6103218740509
0.25,369,2.4151274454618217,1190.085019791907
0.25,373,2.5043042523682133,1079.048088052956
0.25,377,2.491034382198265,1110.2508869527883
0.25,380,2.1021201253384802,1730.6347867133265
0.25,381,2.4949267327194433,1238.5985198066912
0.25,383,2.527994259489795,959.4877680383177
0.25,388,2.510116906073573,1221.549365501546
0.25,389,2.5676908657480815,944.4777325610273
0.25,390,2.458691117720205,1162.2493500988005
0.25,403,2.3012933706964334,1087.533388488639
0.25,408,2.4128710974140373,1878.978208149185
0.25,411,2.564266515830754,1059.7864009952648
0.25,422,2.46888846547524,1139.1457230419946
0.25,431,2.4552330689851996,1169.781716851308
0.25,440,2.465227459080372,731.5984858299596
0.25,447,2.4386757708557045,1334.3765530918051
0.25,455,2.577855351921999,903.9065360182647
0.25,458,2.4613713824698307,1348.780281271456
0.25,464,2.5181471977962073,1335.172152440875
0.25,465,2.4877221780451624,1117.830468359747
0.25,470,2.375010536010988,1013.4350629531443
0.25,471,2.4621174910346038,1154.6345622103693
0.25,476,2.4898050617754697,975.7672600145283
0.25,489,2.443364392924258,1341.026827292945
0.25,490,2.473489128958096,1261.2860810224277
0.25,491,2.470140470616723,1268.9074375322018
0.25,494,2.4737345814944134,1149.7576319491955
0.25,500,2.458691117720205,1162.2493500988005
0.25,503,2.4727688933158865,1455.2415710605364
0.25,508,2.4545506959475345,1314.2143350524848
0.25,516,2.501548418903421,1225.106682277397
0.25,526,2.5356391703221477,1153.3826500984226
0.25,528,2.4240794044201737,1117.1316738830012
0.25,534,2.4655155109376183,1146.9343608681452
0.25,540,2.4621174910346038,1154.6345622103693
0.25,541,2.491034382198265,1110.2508869527883
0.25,544,2.5384021526230613,1075.8209857773556
0.25,555,2.46888846547524,1139.1457230419946
0.25,556,2.3778995492948427,864.8910681158034
0.25,563,2.461484368524941,1302.226894996389
0.25,564,2.493111574320968,967.6418043681961
0.25,566,2.416983055806148,1396.1126820621407
0.25,568,2.4760550271802484,1446.9604919585458
