observations,centile,WM-hypointensities
110,0.25,1269.88225805081
110,0.5,1580.730363732309
110,0.75,1891.5784694138056
110,0.95,2338.784335512558
111,0.05,887.845127350213
111,0.25,1230.8419905810824
111,0.5,1469.2555116740025
111,0.75,1707.6690327669216
111,0.95,2050.6658959977913
112,0.05,884.6430020242926
112,0.25,1233.8061614363407
112,0.5,1476.5058103113306
112,0.75,1719.2054591863184
112,0.95,2068.368618598368
113,0.05,887.5392487667029
113,0.25,1226.9106660517195
113,0.5,1462.8041777039077
113,0.75,1698.6976893560968
113,0.95,2038.0691066411118
114,0.05,865.2614300275854
114,0.25,1220.112286738096
114,0.5,1466.76539433298
114,0.75,1713.4185019278639
114,0.95,2068.269358638372
115,0.05,887.5392487667029
115,0.25,1226.9106660517195
115,0.5,1462.8041777039077
115,0.75,1698.6976893560968
115,0.95,2038.0691066411118
116,0.05,887.845127350213
116,0.25,1230.8419905810824
116,0.5,1469.2555116740025
116,0.75,1707.6690327669216
116,0.95,2050.6658959977913
117,0.05,887.5392487667029
117,0.25,1226.9106660517195
117,0.5,1462.8041777039077
117,0.75,1698.6976893560968
117,0.95,2038.0691066411118
118,0.05,876.7319083457505
118,0.25,1235.0089541556474
118,0.5,1484.0435698477802
118,0.75,1733.0781855399136
118,0.95,2091.3552313498094
119,0.05,876.7319083457505
119,0.25,1235.0089541556474
119,0.5,1484.0435698477802
119,0.75,1733.0781855399136
119,0.95,2091.3552313498094
121,0.05,876.7319083457505
121,0.25,1235.0089541556474
121,0.5,1484.0435698477802
121,0.75,1733.0781855399136
121,0.95,2091.3552313498094
122,0.05,884.8169175010885
122,0.25,1222.761546255496
122,0.5,1457.6633121691566
122,0.75,1692.5650780828184
122,0.95,2030.5097068372272
123,0.05,797.7848794722377
123,0.25,1280.1342060878903
123,0.5,1615.4101624683758
123,0.75,1950.6861188488615
123,0.95,2433.0354454645158
125,0.05,887.845127350213
125,0.25,1230.8419905810824
125,0.5,1469.2555116740025
125,0.75,1707.6690327669216
125,0.95,2050.6658959977913
126,0.05,887.5392487667029
126,0.25,1226.9106660517195
126,0.5,1462.8041777039077
126,0.75,1698.6976893560968
126,0.95,2038.0691066411118
127,0.05,417.7381586932298
127,0.25,756.1567057630646
127,0.5,991.3878873256836
127,0.75,1226.6190688883034
127,0.95,1565.037615958139
128,0.05,553.4830069685378
128,0.25,924.3187139003272
128,0.5,1182.0827231795597
128,0.75,1439.8467324587925
128,0.95,1810.6824393905786
13,0.05,1041.2402864003568
13,0.25,1394.4635693736477
13,0.5,1639.9853675394236
13,0.75,1885.5071657051928
13,0.95,2238.7304486784833
130,0.05,575.3684386886094
130,0.25,924.5315981006565
130,0.5,1167.2312469756457
130,0.75,1409.9308958506347
130,0.95,1759.0940552626835
131,0.05,424.88859583803617
131,0.25,767.8854590689077
131,0.5,1006.2989801618268
131,0.75,1244.7125012547467
131,0.95,1587.7093644856168
132,0.05,571.4201268697173
132,0.25,909.838673939556
132,0.5,1145.069855502175
132,0.75,1380.301037064795
132,0.95,1718.7195841346315
134,0.05,553.4830069685378
134,0.25,924.3187139003272
134,0.5,1182.0827231795597
134,0.75,1439.8467324587925
134,0.95,1810.6824393905786
135,0.05,413.77537683357536
135,0.25,772.0524226434715
135,0.5,1021.0870383356047
135,0.75,1270.1216540277378
135,0.95,1628.3986998376345
136,0.05,575.3684386886094
136,0.25,924.5315981006565
136,0.5,1167.2312469756457
136,0.75,1409.9308958506347
136,0.95,1759.0940552626835
137,0.05,575.5423541654044
137,0.25,913.4869829198122
137,0.5,1148.3887488334726
137,0.75,1383.2905147471336
137,0.95,1721.2351435015398
138,0.05,424.5827172545271
138,0.25,763.9541345395419
138,0.5,999.8476461917322
138,0.75,1235.7411578439207
138,0.95,1575.1125751289364
139,0.05,424.88859583803617
139,0.25,767.8854590689077
139,0.5,1006.2989801618268
139,0.75,1244.7125012547467
139,0.95,1587.7093644856168
140,0.05,571.4201268697173
140,0.25,909.838673939556
140,0.5,1145.069855502175
140,0.75,1380.301037064795
140,0.95,1718.7195841346315
141,0.05,566.8666278732571
141,0.25,907.3901266985968
141,0.5,1144.084438142442
141,0.75,1380.7787495862865
141,0.95,1721.3022484116218
144,0.05,567.4573450100652
144,0.25,925.734390819963
144,0.5,1174.7690065120962
144,0.75,1423.8036222042297
144,0.95,1782.0806680141238
145,0.05,424.5827172545271
145,0.25,763.9541345395419
145,0.5,999.8476461917322
145,0.75,1235.7411578439207
145,0.95,1575.1125751289364
146,0.05,421.86038598891275
146,0.25,759.805014743321
146,0.5,994.7067806569818
146,0.75,1229.6085465706424
146,0.95,1567.553175325048
148,0.05,413.1846596967681
148,0.25,753.7081585221033
148,0.5,990.4024699659498
148,0.75,1227.0967814097949
148,0.95,1567.6202802351306
149,0.05,424.88859583803617
149,0.25,767.8854590689077
149,0.5,1006.2989801618268
149,0.75,1244.7125012547467
149,0.95,1587.7093644856168
15,0.05,843.4113978535768
15,0.25,1338.6228591035976
15,0.5,1682.8391503258233
15,0.75,2027.055441548052
15,0.95,2522.266902798075
