centile,observations,response_var_0,response_var_1
0.05,134,2.4192901567420244,1711.3681659599604
0.05,135,2.4349282782109847,1094.730964182833
0.05,138,2.2311903594452693,1095.6476947938036
0.05,140,2.444260758554838,1205.3191880311979
0.05,142,2.4401791884698403,1214.6478779020529
0.05,143,2.488176255489826,1130.6142567887598
0.05,144,2.4318038272715246,1232.77979482532
0.05,145,2.533204062832495,969.5988076223075
0.05,146,2.448922196151972,938.7721285776911
0.05,147,2.4431805676731697,1075.6786972070406
0.05,148,2.34129454920163,1323.005190335313
0.05,149,2.4814363677751343,910.1498763737832
0.05,150,2.5232540467945945,940.1973347201963
0.05,151,2.4263746536558277,1112.9869685698561
0.05,152,2.436028585720831,1223.7995041432991
0.05,153,2.462837770234943,954.51852440282
0.05,154,2.321838404887906,872.446117831858
0.05,155,2.386642062628441,973.7327680491928
0.05,156,2.4607702711972217,911.1604763022328
0.05,158,2.4318038272715246,1232.77979482532
0.05,159,2.4349282782109847,1094.730964182833
0.05,160,2.517303155388229,950.0561310241935
0.05,161,2.415289064515042,567.8159128083488
0.05,163,2.4252716817343685,1131.556161889611
0.05,165,2.4656345615026702,1037.1252212398242
0.05,166,2.5023778108337953,1045.530117650112
0.05,167,2.334998568684322,852.5771015511494
0.05,168,2.389354166833556,1147.506855701048
0.05,169,2.4607702711972217,911.1604763022328
0.05,170,2.451016896394462,637.3937179989499
0.05,172,2.436028585720831,1223.7995041432991
0.05,173,2.385502233867937,1281.637397038493
0.05,174,2.4694480610096914,1027.879345572764
0.05,175,2.527972558287076,926.4161773536666
0.05,176,2.46844027187295,891.6726265379484
0.05,177,2.473228535154357,1018.4309911415037
0.05,178,2.539552324343183,891.8359749511919
0.05,179,2.3149639827342074,910.4128342538487
0.05,180,2.446470878701728,673.7900071705341
0.05,181,2.5396586534756684,783.6869290737825
0.05,182,2.325642821255843,999.2407300899026
0.05,183,2.403895689344844,870.9569166388807
0.05,184,2.535998595408779,748.3141944284796
0.05,186,2.354607331658372,1851.1561788253016
