observations,WM-hypointensities,Right-Lateral-Ventricle,Right-Amygdala,CortexVol
105,-0.420413330157025,-1.9387146512540696,-0.5822004551605757,-0.7392426187776748
1050,-0.2767857094474635,-1.4004582285471991,-0.9183664105457192,-0.6457066754165297
1052,-0.29649419220517714,-1.4740119309328734,-0.6326354916463841,-0.749821251669103
1055,-1.5945167423161903,-1.9716389550845834,-1.3264015792645925,-2.8881638936218668
1056,-0.34082793210549034,-1.004730721014758,-0.9697056756192096,-0.5894907382085748
1057,-0.12949878574683504,-0.48079878962747946,-0.6007728254277014,-0.43695964704529244
1058,-0.20850468841352976,-1.7028022637202072,-0.5829497289977928,-0.4305187745035763
1059,-1.5240932606206845,-0.8900399260606455,-0.9110436361774199,-2.4003548149559237
106,-0.24523001286475288,-0.6076274253452978,-1.8612706054235946,-0.6468182575141161
1061,-0.40291707888414185,-0.5644153497569646,-0.5899071131915111,-0.6790966274205039
1062,-0.36432610361304096,-0.9500047843755429,-0.8324013731132891,-1.3108853091986838
1065,-0.16270636798243032,-0.9825434545539881,-1.039945831664965,-0.508405920539135
1066,-0.17892523289360907,-0.4868087415370852,-0.9923808362406458,-0.5011727867580836
1067,-0.2275711439218504,-0.485974501260372,-1.1243707122269835,-0.4814811917610255
1068,-0.18138760398962606,-1.15242961886257,-0.5290373453155123,-0.43516036643983375
1069,-0.12669419832107343,-0.6417959841287249,-0.6606821718680829,-0.4551909628808823
107,-0.6699206134582595,-0.5156525954296277,-0.649233062649482,-0.5180097490877338
1070,-0.2915037112828738,-0.5915579611716466,-0.5412991172004782,-0.4370657000914898
1071,-0.18591895529158142,-1.162610783159328,-1.0689695454703272,-0.6207201868196274
1072,-0.23279669053867225,-2.8021116286031154,-0.5274359972027258,-0.9380564998617716
1073,-0.3996180753704188,-0.5571482394965068,-0.5696673257318127,-0.6158391831980945
1074,-0.16353442254550776,-1.3965413852712687,-0.7137366870233021,-0.6229844465221664
1075,-0.24079768705384463,-0.632533143276842,-0.5827677586942156,-0.5030424477229836
1076,-0.4333699390097989,-0.848534052241897,-0.9067860636132494,-0.822713623820782
1077,-0.2305362635070265,-1.237454868866423,-0.6268510966932346,-1.0767920362488703
