observations,centile,WM-hypointensities,Right-Lateral-Ventricle,Right-Amygdala,CortexVol
1017,0.95,2168.3573365061125,10549.456995526994,1692.2244922714049,497271.5474147094
1018,0.05,653.2461379604607,848.4314554545044,994.6967209122881,331360.0706644022
1018,0.25,1184.075985597676,4171.569728341274,1266.5407363829127,390138.9462343204
1018,0.5,1525.4112747329393,6051.191382408224,1420.1701108579746,423652.8765513895
1018,0.75,1907.1807531576676,7890.611090432283,1549.896988554487,451923.3136612112
1018,0.95,2647.472463195256,11328.341423142667,1711.1758396518314,486401.06211266667
1019,0.05,817.6207845481872,2313.3371902477547,1318.2973875115724,412750.37715546624
1019,0.25,1299.3879003584766,5217.7916969131,1521.0090204629214,454128.10302678443
1019,0.5,1630.2726698492484,6986.635437106124,1638.0319432102683,478173.4059651648
1019,0.75,2012.7504699627625,8896.809524335647,1747.7428677744567,500863.1585879742
1019,0.95,2759.9293551702613,12873.831462880305,1925.097928959157,536882.2530938779
102,0.05,-426.44427481935986,1958.5512513816848,1288.669241189547,385808.59098736395
102,0.25,307.5959244050722,4759.325656718804,1498.3953393490106,432031.31261156144
102,0.5,688.8373593928999,6426.418010681748,1618.3902627615391,458326.45466825843
102,0.75,1006.4992064077452,8117.899028255031,1728.7085093951323,481448.53589265863
102,0.95,1419.0239927801995,11276.14107134537,1901.7139205095739,513784.4443670651
1022,0.05,832.4155895271103,2742.0297737672045,1263.0436553108375,443587.2799109884
1022,0.25,1208.6886917824002,5238.146061763911,1483.5781926745528,478143.9813070892
1022,0.5,1459.250422801179,6786.313497940997,1608.549290403739,500198.4271801536
1022,0.75,1725.9770181831746,8409.021211739539,1722.1758539707791,523601.72303167527
1022,0.95,2184.4384079554825,11478.805342053005,1898.9799443550899,564602.3946692268
1024,0.05,664.3028989196204,1504.5923771825564,919.6099990743961,369394.490009345
1024,0.25,1080.129867091886,4303.21127804463,1213.7135349929904,418936.5980077485
1024,0.5,1342.0851705593348,5938.4522799208,1379.6990210564666,447089.1529715837
1024,0.75,1610.4775852229907,7525.834782876606,1518.851664048152,471332.7675992027
1024,0.95,2059.5293606896,10259.638791827323,1687.781400937268,503325.5929641055
1025,0.05,898.2567355821434,4049.6309597300738,1405.3776074034445,372127.85644977377
1025,0.25,1340.3747715023476,6751.2450907766615,1620.3675053638726,427683.778153417
1025,0.5,1651.0645390592601,8690.09549170763,1750.7848728337224,458333.9702516433
1025,0.75,2009.0871838986177,11217.663860113142,1893.8711348160646,484808.26743753377
1025,0.95,2693.4073324473957,17482.91539002081,2182.401456279395,522753.7824607683
1026,0.05,898.2567355821434,4049.6309597300738,1405.3776074034445,372127.85644977377
1026,0.25,1340.3747715023476,6751.2450907766615,1620.3675053638726,427683.778153417
1026,0.5,1651.0645390592601,8690.09549170763,1750.7848728337224,458333.9702516433
1026,0.75,2009.0871838986177,11217.663860113142,1893.8711348160646,484808.26743753377
1026,0.95,2693.4073324473957,17482.91539002081,2182.401456279395,522753.7824607683
1028,0.05,393.17940266394646,2964.515662429408,1620.8972775666043,481836.88074516616
1028,0.25,858.1734184890097,5454.932961096361,1782.9607324478675,513968.3225757058
1028,0.5,1130.3591224341837,7023.0336766649125,1910.1493630253847,539396.9344552045
1028,0.75,1389.0397255461794,8706.774936367525,2071.450899499651,569924.3381946464
1028,0.95,1786.3548483727673,12002.65424127597,2396.353910902885,625464.9836887107
1029,0.05,190.76118935634486,1656.2615802817636,1393.024229482894,431410.7117174171
1029,0.25,703.3971917790213,4405.808301112115,1583.3640577065537,468026.716889358
1029,0.5,992.3051786427782,6022.329215315853,1697.0387824947477,490321.7756324916
1029,0.75,1255.0456160479623,7602.857764399942,1811.4044480553425,512754.7549229892
1029,0.95,1636.0045490951643,10346.347245283981,2014.8725407507732,550528.4450198384
103,0.05,-429.7439774192692,1571.8574387227563,1315.5297212268347,372018.26836082374
103,0.25,381.06981132844044,4625.302416376295,1517.7362735565434,421864.1866268187
103,0.5,790.2130419174537,6408.693369897932,1634.4396650263884,450076.8902513477
103,0.75,1131.7854477948244,8217.71014288692,1743.4853300800285,474416.32437688316
103,0.95,1598.9773932831094,11703.843891150747,1918.427862525544,507044.16778233217
1030,0.05,389.9817470117425,2960.2315596378817,1622.6385790279578,480015.5082774531
1030,0.25,862.3935076219631,5470.926883540519,1784.4445590897599,512102.1432542993
1030,0.5,1138.44876470309,7052.473509129478,1911.7007286582202,537261.1324715435
1030,0.75,1401.3300938322202,8756.788969674693,2073.15855859626,567395.4406562394
1030,0.95,1807.7318321097378,12118.483975609615,2398.187418083214,622284.576723629
1031,0.05,385.1622969382894,2687.7568295213305,1640.6220446418433,469222.54814024275
1031,0.25,909.4747190695093,5394.459676349967,1801.2733270407268,501669.7771575822
1031,0.5,1213.8508750716699,7077.397462621485,1930.6793459434132,525638.5865763087
1031,0.75,1510.7729959740684,8905.132413076106,2095.9576609129685,553798.1956775028
1031,0.95,1998.198659438896,12643.06628693855,2427.3017717899365,605301.2417312126
